Compound,Date,Negative,Neutral,Positive,Source Account,Text
-0.5562,2018-06-12 00:19:23+00:00,0.315,0.551,0.134,@CBS,"No pain, no gain, ALL Hart! Just one month until the premiere of @TKOCBS hosted by @KevinHart4real. https://t.co/C1yMCglxVn"
0.5093,2018-06-11 22:23:06+00:00,0.0,0.829,0.171,@CBS,"RT @TheNeighborhood: Welcome to #TheNeighborhood, @BethBehrs! The @2BrokeGirls star returns to @CBS in a new sitcom alongside @CedEntertain…"
-0.296,2018-06-11 19:01:38+00:00,0.167,0.833,0.0,@CBS,"In case you missed it, watch the entire #TonyAwards now: https://t.co/Bm0yNV3Ff3 https://t.co/3GA5otlcPa"
0.0,2018-06-11 14:00:37+00:00,0.0,1.0,0.0,@CBS,How do you know @SaraBareilles and @joshgroban's music? #TonyAwards https://t.co/POMXBORfUT
0.0,2018-06-11 06:19:36+00:00,0.0,1.0,0.0,@CBS,Here are all the performances from the 2018 #TonyAwards: https://t.co/gN4ItpFlRd https://t.co/fSMNBXKC9r
0.4767,2018-06-11 06:04:41+00:00,0.0,0.78,0.22,@CBS,See the complete list of winners from the 2018 #TonyAwards: https://t.co/9XK6CGeber https://t.co/HkUIN4Quej
0.8478,2018-06-11 03:10:33+00:00,0.0,0.594,0.406,@CBS,An end to a magical evening. The Band's Visit wins for Best Musical! #TonyAwards https://t.co/ODza97n8YH
0.92,2018-06-11 03:02:06+00:00,0.0,0.537,0.463,@CBS,Congratulations are in order for @TheKatrinaLenk! She just won for Best Leading Actress in a Musical. #TonyAwards https://t.co/t9bNvpiEmH
0.4404,2018-06-11 02:58:30+00:00,0.088,0.737,0.175,@CBS,"RT @CBSThisMorning: Hmm... something seems off here @SaraBareilles @JoshGroban. 😂

@WaitressMusical @GreatCometBway #TonyAwards https://t.c…"
0.4404,2018-06-11 02:56:40+00:00,0.0,0.847,0.153,@CBS,RT @_stobin13: watching the #TonyAwards after going to 3 broadway shows this weekend makes it even better 😍🤩
0.836,2018-06-11 02:56:10+00:00,0.0,0.533,0.467,@CBS,Tony Shalhoub wins Best Leading Actor in a Musical. #TonyAwards   #TheBandsVisit https://t.co/KcUDSicKI5
0.0,2018-06-11 02:53:00+00:00,0.0,1.0,0.0,@CBS,The Boss looks right at home on the #TonyAwards stage! https://t.co/pwjv4iydkn
0.6369,2018-06-11 02:47:29+00:00,0.0,0.682,0.318,@CBS,RT @Aatamianphoto: Springsteen is on the #TonyAwards and I love it.
